mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	unitSet
wh2_dlc09_tmb_art_casket_of_souls_0	wh2_dlc09_tmb_art_casket_of_souls_0	chariot	war_machine	chariot	wh2_dlc09_tmb_casket_of_souls	artillery_war_machines	true	1	1	0	true	wh2_dlc09_tmb_casket_of_souls	20	artillery	jar_unit_set_artillery_war_machines
wh2_dlc09_tmb_art_screaming_skull_catapult_0	wh2_dlc09_tmb_art_screaming_skull_catapult_0	warmachine	artillery	art_fld	catapult	artillery_war_machines	true	44	4	0	false		22	artillery	jar_unit_set_artillery_war_machines
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	missile_cavalry	cavalry	cav_mis	missile_cavalry_bow_skeleton	missile_cavalry_chariots	true	60	0	60	false	wh2_dlc09_tmb_bow_horse	18	skirmish	jar_unit_set_cavalry_chariots
wh2_dlc09_tmb_inf_skeleton_archers_0	wh2_dlc09_tmb_inf_skeleton_archers_0	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	wh2_dlc09_tmb_bow_skeleton	22	archer	jar_unit_set_infantry
wh2_dlc09_tmb_inf_skeleton_archers_ror	wh2_dlc09_tmb_inf_skeleton_archers_ror	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	120	0	0	false	wh2_dlc09_tmb_bow_skeleton_ror	22	archer	jar_unit_set_infantry
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_sepulchral_stalkers	missile_monster_beasts	true	16	0	0	false	wh2_dlc09_tmb_stalker_gaze	12	archer	jar_unit_set_monstrous
wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_sepulchral_stalkers	missile_monster_beasts	true	16	0	0	false	wh2_dlc09_tmb_stalker_gaze_ror	12	archer	jar_unit_set_monstrous
wh2_dlc09_tmb_mon_ushabti_1	wh2_dlc09_tmb_mon_ushabti_1	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_ushabti_bow	missile_monster_beasts	true	12	0	0	false	wh2_dlc09_tmb_bow_ushabti	21	artillery	jar_unit_set_monstrous
wh2_dlc09_tmb_mon_ushabti_ror	wh2_dlc09_tmb_mon_ushabti_ror	monstrous_infantry	inf_ranged	inf_mis	wh2_dlc09_tmb_ushabti_bow	missile_monster_beasts	true	12	0	0	false	wh2_dlc09_tmb_ushabti_bolt_ror	21	artillery	jar_unit_set_monstrous
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	wh2_dlc09_tmb_mon_khemrian_warsphinx_0	monster	war_beast	inf_mel	wh2_dlc09_tmb_warsphinx	missile_monster_beasts	true	4	0	1	true		200	melee	jar_unit_set_single_entities
