unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__vanilla					
			wh2_dlc09_tmb_art_casket_of_souls_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc09_tmb_art_screaming_skull_catapult_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_carronade	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_mortar	jar_unit_set_artillery_war_machines	false
			wh2_dlc11_cst_art_queen_bess	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_art_warp_lightning_cannon_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doomwheel_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_great_cannon_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_art_mortar_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_steam_tank_imperial_supply	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_emp_veh_steam_tank_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc13_huntmarshall_veh_obsinite_gyrocopter_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc14_def_veh_bloodwrack_shrine_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_flappas_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_roller_0	jar_unit_set_artillery_war_machines	false
			wh2_dlc15_grn_veh_snotling_pump_wagon_ror_0	jar_unit_set_artillery_war_machines	false
			wh2_main_def_art_reaper_bolt_thrower	jar_unit_set_artillery_war_machines	false
