building_chain	level	active_slot_count
#campaign_building_chain_slot_unlocks_tables;1;db/campaign_building_chain_slot_unlocks_tables/jar_norsca_tweaks__building_slots		
wh3_dlc27_settlement_nor_chaos_altar_kho	1	3
wh3_dlc27_settlement_nor_chaos_altar_kho	2	3
wh3_dlc27_settlement_nor_chaos_altar_kho_special_port	1	3
wh3_dlc27_settlement_nor_chaos_altar_kho_special_port	2	3
wh3_dlc27_settlement_nor_chaos_altar_nur	1	3
wh3_dlc27_settlement_nor_chaos_altar_nur	2	3
wh3_dlc27_settlement_nor_chaos_altar_nur_special_port	1	3
wh3_dlc27_settlement_nor_chaos_altar_nur_special_port	2	3
wh3_dlc27_settlement_nor_chaos_altar_sla	1	3
wh3_dlc27_settlement_nor_chaos_altar_sla	2	3
wh3_dlc27_settlement_nor_chaos_altar_sla_special_port	1	3
wh3_dlc27_settlement_nor_chaos_altar_sla_special_port	2	3
wh3_dlc27_settlement_nor_chaos_altar_tze	1	3
wh3_dlc27_settlement_nor_chaos_altar_tze	2	3
wh3_dlc27_settlement_nor_chaos_altar_tze_special_port	1	3
wh3_dlc27_settlement_nor_chaos_altar_tze_special_port	2	3
wh3_dlc27_settlement_nor_chaos_altar_und	1	3
wh3_dlc27_settlement_nor_chaos_altar_und	2	3
wh3_dlc27_settlement_nor_chaos_altar_und	3	3
wh3_dlc27_settlement_nor_chaos_altar_und	4	3
wh3_dlc27_settlement_nor_chaos_altar_und	5	3
wh3_dlc27_settlement_nor_chaos_altar_und_special_port	1	3
wh3_dlc27_settlement_nor_chaos_altar_und_special_port	2	3
wh3_dlc27_settlement_nor_chaos_altar_und_special_port	3	3
wh3_dlc27_settlement_nor_chaos_altar_und_special_port	4	3
wh3_dlc27_settlement_nor_chaos_altar_und_special_port	5	3
wh3_dlc27_settlement_nor_chaos_altar_kho_special_gate	1	1
wh3_dlc27_settlement_nor_chaos_altar_nur_special_gate	1	1
wh3_dlc27_settlement_nor_chaos_altar_sla_special_gate	1	1
wh3_dlc27_settlement_nor_chaos_altar_tze_special_gate	1	1
wh3_dlc27_settlement_nor_chaos_altar_und_special_gate	1	1
wh3_dlc27_settlement_nor_chaos_altar_kho_special_gate	2	2
wh3_dlc27_settlement_nor_chaos_altar_nur_special_gate	2	2
wh3_dlc27_settlement_nor_chaos_altar_sla_special_gate	2	2
wh3_dlc27_settlement_nor_chaos_altar_tze_special_gate	2	2
wh3_dlc27_settlement_nor_chaos_altar_und_special_gate	2	2
wh3_dlc27_settlement_nor_chaos_altar_kho_special_gate	3	2
wh3_dlc27_settlement_nor_chaos_altar_nur_special_gate	3	2
wh3_dlc27_settlement_nor_chaos_altar_sla_special_gate	3	2
wh3_dlc27_settlement_nor_chaos_altar_tze_special_gate	3	2
wh3_dlc27_settlement_nor_chaos_altar_und_special_gate	3	2
