unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/ak_teb_roc																																												
teb_roc_dieterfist		1	melee_infantry	1	false	teb_roc_dieterfist	120	1	1100	wh_main_shp_transport	1	1	120	1100	275	medium		0	true	wh_main_vo_culture_Empire	infantry_axe	3	false	emp_soldier_15_degrees		false		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_estragon		1	missile_infantry	1	false	teb_roc_estragon	100	1	1000	wh_main_shp_transport	1	1	120	1000	250	heavy		0	true	wh_main_vo_culture_Empire	missile_infantry_pistol	3	false	emp_soldier_15_degrees		false		550.0000	450.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		800.0000	true	1	true
teb_roc_verena		1	missile_infantry	1	false	teb_roc_verena	90	1	575	wh_main_shp_transport	1	1	120	575	144	light		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	2	false	emp_soldier_30_degrees		false		100.0000	450.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_strygos		1	missile_infantry	1	false	teb_roc_strygos	90	1	800	wh_main_shp_transport	1	1	120	800	200	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	2	false	emp_soldier_30_degrees		false		120.0000	650.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
teb_roc_broswords		1	melee_cavalry	1	false	teb_roc_broswords	60	1	1150	wh_main_shp_transport	1	1	60	1150	287	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_gwatch		1	melee_infantry	1	false	teb_roc_gwatch	100	1	1350	wh_main_shp_transport	1	1	120	1350	337	medium		0	true	wh_main_vo_culture_Empire	infantry_sword_great	3	false	emp_soldier_15_degrees		false		1300.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_kotss		1	melee_cavalry	1	false	teb_roc_kotss	60	1	1300	wh_main_shp_transport	1	1	60	1300	325	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1300.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_organ		1	warmachine	1	false	teb_roc_organ	60	1	1500	wh_main_shp_transport	1	1	60	1500	375	heavy		0	true	wh_main_vo_culture_Dwarf	artillery_field_gun	4	false	dwf_warrior_15_degrees		false		110.0000	990.0000	true	vo_culture_None	true	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_gunn		1	melee_cavalry	1	false	teb_roc_gunn	60	1	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh_main_vo_culture_Bretonnian	cavalry	2	false	emp_reiksguard		false		600.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_roc_montecastello		1	missile_cavalry	1	false	teb_roc_montecastello	60	1	1300	wh_main_shp_transport	1	1	120	1300	325	medium		0	true	wh_main_vo_culture_Empire	missile_cavalry_bow	3	false	emp_reiksguard		false		704.0000	320.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_tank_ror		1	chariot	3	false	teb_tank_ror	9	1	2600	wh_main_shp_transport	1	1	9	2600	650	heavy		0	true	wh_main_vo_culture_Empire	emp_steam_tank	5	true	emp_steam_tank		true		860.0000	1740.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
