unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/ak_teb_ror																																												
teb_ricco		1	melee_infantry	1	false	teb_ricco	120	1	1000	wh_main_shp_transport	1	1	120	1000	250	heavy		0	true	wh_main_vo_culture_Empire	infantry_pike	3	false	emp_soldier_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_alcatani		1	melee_infantry	1	false	teb_alcatani	160	1	850	wh_main_shp_transport	1	1	160	850	213	heavy		0	true	wh_main_vo_culture_Empire	infantry_pike	2	false	emp_soldier_15_degrees		false		850.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_pirazzo		1	melee_infantry	1	false	teb_pirazzo	100	1	900	wh_main_shp_transport	1	1	100	900	225	heavy		0	true	wh_main_vo_culture_Empire	infantry_pike	2	false	emp_soldier_15_degrees		false		800.0000	100.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_pirazzo_xbows		1	missile_infantry	1	false	teb_pirazzo_xbows	60	1	800	wh_main_shp_transport	1	1	60	800	200	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	2	false	emp_soldier_15_degrees		false		100.0000	500.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_leopard		1	melee_infantry	1	false	teb_leopard	120	1	900	wh_main_shp_transport	1	1	120	900	225	heavy		0	true	wh_main_vo_culture_Empire	infantry_pike	2	false	emp_soldier_15_degrees		false		900.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_venators		1	melee_cavalry	1	false	teb_venators	60	1	1400	wh_main_shp_transport	1	1	60	1400	350	medium		0	true	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1400.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
teb_vespero		1	melee_infantry	1	false	teb_vespero	100	1	1050	wh_main_shp_transport	1	1	120	1050	262	medium		0	true	wh_main_vo_culture_Empire	wh2_main_infantry_dual_swords	3	false	emp_soldier_30_degrees		false		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_marksmen		1	missile_infantry	1	false	teb_marksmen	90	1	750	wh_main_shp_transport	1	1	120	750	188	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	2	false	emp_soldier_15_degrees		false		150.0000	600.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_besiegers		1	missile_infantry	1	false	teb_besiegers	90	1	900	wh_main_shp_transport	1	1	120	900	225	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	2	false	emp_soldier_15_degrees		false		225.0000	675.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
