phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/jar_adjustable_missiles__accuracy			
jar_adjustable_missiles__ability_phase__acc__-100	stat_accuracy	-100.0000	add
jar_adjustable_missiles__ability_phase__acc__-99	stat_accuracy	-99.0000	add
jar_adjustable_missiles__ability_phase__acc__-98	stat_accuracy	-98.0000	add
jar_adjustable_missiles__ability_phase__acc__-97	stat_accuracy	-97.0000	add
jar_adjustable_missiles__ability_phase__acc__-96	stat_accuracy	-96.0000	add
jar_adjustable_missiles__ability_phase__acc__-95	stat_accuracy	-95.0000	add
jar_adjustable_missiles__ability_phase__acc__-94	stat_accuracy	-94.0000	add
jar_adjustable_missiles__ability_phase__acc__-93	stat_accuracy	-93.0000	add
jar_adjustable_missiles__ability_phase__acc__-92	stat_accuracy	-92.0000	add
jar_adjustable_missiles__ability_phase__acc__-91	stat_accuracy	-91.0000	add
jar_adjustable_missiles__ability_phase__acc__-90	stat_accuracy	-90.0000	add
jar_adjustable_missiles__ability_phase__acc__-89	stat_accuracy	-89.0000	add
jar_adjustable_missiles__ability_phase__acc__-88	stat_accuracy	-88.0000	add
jar_adjustable_missiles__ability_phase__acc__-87	stat_accuracy	-87.0000	add
jar_adjustable_missiles__ability_phase__acc__-86	stat_accuracy	-86.0000	add
jar_adjustable_missiles__ability_phase__acc__-85	stat_accuracy	-85.0000	add
jar_adjustable_missiles__ability_phase__acc__-84	stat_accuracy	-84.0000	add
jar_adjustable_missiles__ability_phase__acc__-83	stat_accuracy	-83.0000	add
jar_adjustable_missiles__ability_phase__acc__-82	stat_accuracy	-82.0000	add
jar_adjustable_missiles__ability_phase__acc__-81	stat_accuracy	-81.0000	add
jar_adjustable_missiles__ability_phase__acc__-80	stat_accuracy	-80.0000	add
jar_adjustable_missiles__ability_phase__acc__-79	stat_accuracy	-79.0000	add
jar_adjustable_missiles__ability_phase__acc__-78	stat_accuracy	-78.0000	add
jar_adjustable_missiles__ability_phase__acc__-77	stat_accuracy	-77.0000	add
jar_adjustable_missiles__ability_phase__acc__-76	stat_accuracy	-76.0000	add
jar_adjustable_missiles__ability_phase__acc__-75	stat_accuracy	-75.0000	add
jar_adjustable_missiles__ability_phase__acc__-74	stat_accuracy	-74.0000	add
jar_adjustable_missiles__ability_phase__acc__-73	stat_accuracy	-73.0000	add
jar_adjustable_missiles__ability_phase__acc__-72	stat_accuracy	-72.0000	add
jar_adjustable_missiles__ability_phase__acc__-71	stat_accuracy	-71.0000	add
jar_adjustable_missiles__ability_phase__acc__-70	stat_accuracy	-70.0000	add
jar_adjustable_missiles__ability_phase__acc__-69	stat_accuracy	-69.0000	add
jar_adjustable_missiles__ability_phase__acc__-68	stat_accuracy	-68.0000	add
jar_adjustable_missiles__ability_phase__acc__-67	stat_accuracy	-67.0000	add
jar_adjustable_missiles__ability_phase__acc__-66	stat_accuracy	-66.0000	add
jar_adjustable_missiles__ability_phase__acc__-65	stat_accuracy	-65.0000	add
jar_adjustable_missiles__ability_phase__acc__-64	stat_accuracy	-64.0000	add
jar_adjustable_missiles__ability_phase__acc__-63	stat_accuracy	-63.0000	add
jar_adjustable_missiles__ability_phase__acc__-62	stat_accuracy	-62.0000	add
jar_adjustable_missiles__ability_phase__acc__-61	stat_accuracy	-61.0000	add
jar_adjustable_missiles__ability_phase__acc__-60	stat_accuracy	-60.0000	add
jar_adjustable_missiles__ability_phase__acc__-59	stat_accuracy	-59.0000	add
jar_adjustable_missiles__ability_phase__acc__-58	stat_accuracy	-58.0000	add
jar_adjustable_missiles__ability_phase__acc__-57	stat_accuracy	-57.0000	add
jar_adjustable_missiles__ability_phase__acc__-56	stat_accuracy	-56.0000	add
jar_adjustable_missiles__ability_phase__acc__-55	stat_accuracy	-55.0000	add
jar_adjustable_missiles__ability_phase__acc__-54	stat_accuracy	-54.0000	add
jar_adjustable_missiles__ability_phase__acc__-53	stat_accuracy	-53.0000	add
jar_adjustable_missiles__ability_phase__acc__-52	stat_accuracy	-52.0000	add
jar_adjustable_missiles__ability_phase__acc__-51	stat_accuracy	-51.0000	add
jar_adjustable_missiles__ability_phase__acc__-50	stat_accuracy	-50.0000	add
jar_adjustable_missiles__ability_phase__acc__-49	stat_accuracy	-49.0000	add
jar_adjustable_missiles__ability_phase__acc__-48	stat_accuracy	-48.0000	add
jar_adjustable_missiles__ability_phase__acc__-47	stat_accuracy	-47.0000	add
jar_adjustable_missiles__ability_phase__acc__-46	stat_accuracy	-46.0000	add
jar_adjustable_missiles__ability_phase__acc__-45	stat_accuracy	-45.0000	add
jar_adjustable_missiles__ability_phase__acc__-44	stat_accuracy	-44.0000	add
jar_adjustable_missiles__ability_phase__acc__-43	stat_accuracy	-43.0000	add
jar_adjustable_missiles__ability_phase__acc__-42	stat_accuracy	-42.0000	add
jar_adjustable_missiles__ability_phase__acc__-41	stat_accuracy	-41.0000	add
jar_adjustable_missiles__ability_phase__acc__-40	stat_accuracy	-40.0000	add
jar_adjustable_missiles__ability_phase__acc__-39	stat_accuracy	-39.0000	add
jar_adjustable_missiles__ability_phase__acc__-38	stat_accuracy	-38.0000	add
jar_adjustable_missiles__ability_phase__acc__-37	stat_accuracy	-37.0000	add
jar_adjustable_missiles__ability_phase__acc__-36	stat_accuracy	-36.0000	add
jar_adjustable_missiles__ability_phase__acc__-35	stat_accuracy	-35.0000	add
jar_adjustable_missiles__ability_phase__acc__-34	stat_accuracy	-34.0000	add
jar_adjustable_missiles__ability_phase__acc__-33	stat_accuracy	-33.0000	add
jar_adjustable_missiles__ability_phase__acc__-32	stat_accuracy	-32.0000	add
jar_adjustable_missiles__ability_phase__acc__-31	stat_accuracy	-31.0000	add
jar_adjustable_missiles__ability_phase__acc__-30	stat_accuracy	-30.0000	add
jar_adjustable_missiles__ability_phase__acc__-29	stat_accuracy	-29.0000	add
jar_adjustable_missiles__ability_phase__acc__-28	stat_accuracy	-28.0000	add
jar_adjustable_missiles__ability_phase__acc__-27	stat_accuracy	-27.0000	add
jar_adjustable_missiles__ability_phase__acc__-26	stat_accuracy	-26.0000	add
jar_adjustable_missiles__ability_phase__acc__-25	stat_accuracy	-25.0000	add
jar_adjustable_missiles__ability_phase__acc__-24	stat_accuracy	-24.0000	add
jar_adjustable_missiles__ability_phase__acc__-23	stat_accuracy	-23.0000	add
jar_adjustable_missiles__ability_phase__acc__-22	stat_accuracy	-22.0000	add
jar_adjustable_missiles__ability_phase__acc__-21	stat_accuracy	-21.0000	add
jar_adjustable_missiles__ability_phase__acc__-20	stat_accuracy	-20.0000	add
jar_adjustable_missiles__ability_phase__acc__-19	stat_accuracy	-19.0000	add
jar_adjustable_missiles__ability_phase__acc__-18	stat_accuracy	-18.0000	add
jar_adjustable_missiles__ability_phase__acc__-17	stat_accuracy	-17.0000	add
jar_adjustable_missiles__ability_phase__acc__-16	stat_accuracy	-16.0000	add
jar_adjustable_missiles__ability_phase__acc__-15	stat_accuracy	-15.0000	add
jar_adjustable_missiles__ability_phase__acc__-14	stat_accuracy	-14.0000	add
jar_adjustable_missiles__ability_phase__acc__-13	stat_accuracy	-13.0000	add
jar_adjustable_missiles__ability_phase__acc__-12	stat_accuracy	-12.0000	add
jar_adjustable_missiles__ability_phase__acc__-11	stat_accuracy	-11.0000	add
jar_adjustable_missiles__ability_phase__acc__-10	stat_accuracy	-10.0000	add
jar_adjustable_missiles__ability_phase__acc__-9	stat_accuracy	-9.0000	add
jar_adjustable_missiles__ability_phase__acc__-8	stat_accuracy	-8.0000	add
jar_adjustable_missiles__ability_phase__acc__-7	stat_accuracy	-7.0000	add
jar_adjustable_missiles__ability_phase__acc__-6	stat_accuracy	-6.0000	add
jar_adjustable_missiles__ability_phase__acc__-5	stat_accuracy	-5.0000	add
jar_adjustable_missiles__ability_phase__acc__-4	stat_accuracy	-4.0000	add
jar_adjustable_missiles__ability_phase__acc__-3	stat_accuracy	-3.0000	add
jar_adjustable_missiles__ability_phase__acc__-2	stat_accuracy	-2.0000	add
jar_adjustable_missiles__ability_phase__acc__-1	stat_accuracy	-1.0000	add
jar_adjustable_missiles__ability_phase__acc__0	stat_accuracy	0.0000	add
jar_adjustable_missiles__ability_phase__acc__+1	stat_accuracy	1.0000	add
jar_adjustable_missiles__ability_phase__acc__+2	stat_accuracy	2.0000	add
