key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/jar_adjustable_missiles__accuracy											
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-100	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-100	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-100	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-100	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-100	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-99	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-99	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-99	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-99	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-99	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-98	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-98	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-98	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-98	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-98	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-97	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-97	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-97	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-97	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-97	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-96	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-96	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-96	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-96	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-96	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-95	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-95	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-95	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-95	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-95	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-94	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-94	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-94	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-94	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-94	false	jar_accuracy		wh_type_hex		wh_main_anc_group_common	false	false	passive		false
